word,1501-1550,1551-1600,1601-1650,1651-1700,mean,in_lila_embeddings,in_lasla,in_operamaiora,transl
dico,42831,120825,41832,72221,69427.25,True,True,True,"say, call, tell"
omnis,33152,108530,46009,66387,63519.5,True,True,True,
facio,33323,109486,40134,53953,59224.0,True,True,True,"do, make, handle"
pars,32591,90667,43593,51249,54525.0,True,True,True,part
habeo,30884,87225,38386,57791,53571.5,True,True,True,"have, hold, possess, consider, think"
possum,23869,79572,36898,72892,53307.75,True,True,True,"be able, can"
res,27869,68790,27473,49014,43286.5,True,True,True,suddenly
suus,23716,58975,33267,52441,42099.75,True,True,True,"his own, her own, its own, their own"
uideo,21389,60143,28355,54288,41043.75,True,True,True,
magnus,23446,61213,29708,39211,38394.5,True,True,True,"big, great"
locus,22091,53908,30003,41517,36879.75,True,True,True,"place, location"
corpus,16756,62316,22606,31319,33249.25,True,True,True,"body, corpus"
multus,20473,50202,21654,34203,31633.0,True,True,True,many
primus,19132,50620,23778,26045,29893.75,True,True,True,"first, foremost, chief, principal"
do,16173,45404,21729,34157,29365.75,True,True,True,"give, offer"
cap,18393,35181,21951,30471,26499.0,False,False,False,
ratio,12325,42217,20289,30475,26326.5,True,True,True,"reckoning, account, reason, judgement, consideration, system, manner, method, invoice, plan, prudence, reasoning, rule, regard"
lib,16365,37925,21843,27512,25911.25,False,False,False,
liber,22941,36345,17863,26167,25829.0,True,True,True,"book, volume, inner bark of a tree, book, book"
aqua,11596,40688,19692,30750,25681.5,True,True,True,"get/fetch/bring water, be watered"
terra,13791,26658,25351,35944,25436.0,True,True,True,"land, earth"
motus,11262,33703,23057,32519,25135.25,True,True,True,"move, arouse, affect"
uerò,9465,49766,16612,24601,25111.0,False,False,False,
quàm,10276,39953,15596,34384,25052.25,False,False,False,"who, which, whom, that"
natura,12829,44261,16559,22265,23978.5,True,True,True,nature
totus,12337,37221,19284,25847,23672.25,True,True,True,"whole, entire"
tempus,12746,32496,18050,29983,23318.75,True,True,True,"time, occasion, opportunity, condition, right time, season, necessity"
annus,8807,27924,18781,37545,23264.25,True,True,True,year
dies,12046,30968,19827,28385,22806.5,True,True,True,"(1.) Day (2.) day, Day, Diary (3.) Day"
modus,13430,36269,16372,21390,21865.25,True,True,True,"(1.) measure, bound, limit (2.) manner, method, mode, way"
paruus,11178,32469,18344,22633,21156.0,True,True,True,
deus,9383,36867,13542,22772,20641.0,True,True,True,"god, supreme being, statue of god"
sol,11188,19057,22064,28043,20088.0,True,True,True,sun
alter,11451,30934,17835,19593,19953.25,True,True,True,"the other one, (the) alternative"
genus,13409,36168,11479,16649,19426.25,True,True,True,"origin, kind, sort, class, sex"
homo,12120,30741,12113,19805,18694.75,True,True,True,
nullus,9860,29425,13489,20695,18367.25,True,True,True,no one
quòd,6022,40119,7392,19513,18261.5,False,False,False,"who, which, whom, that"
medius,12019,26156,16122,18595,18223.0,True,True,True,middle
uis,11570,29377,12176,19158,18070.25,True,True,True,
noster,11673,25585,13410,21166,17958.5,True,True,True,"our, ours"
causa,8919,32929,11823,17958,17907.25,True,True,True,"reason, cause, case, situation"
caput,11872,28266,11145,19774,17764.25,True,True,True,"head, leader, beginning, life, heading, chapter"
angulus,7557,32704,14474,15987,17680.5,True,True,True,"angle, apex, corner, nook, niche, recess, out-of-the-way spot"
nomen,12783,27338,10934,17770,17206.25,True,True,True,"name, Name, Name, name, name"
uoco,14020,30560,9358,12944,16720.5,True,True,True,
linea,8777,27401,13434,15624,16309.0,True,True,True,made of flax or linen
unus,10713,27647,9169,15580,15777.25,True,True,True,"one, single, alone"
similis,8082,27818,10377,14652,15232.25,True,True,True,similar
scribo,12989,25544,7496,12983,14753.0,True,True,True,write
aequalis,5934,20561,14458,17144,14524.25,True,True,True,"equal, similar, uniform, level, flat, of the same age/generation/duration"
nihil,7445,20511,9593,19170,14179.75,True,True,True,nothing
tertius,10572,24422,10305,11415,14178.5,True,True,True,third
luna,8538,10531,14366,20506,13485.25,True,True,True,moon
numerus,10964,20860,8860,13168,13463.0,True,True,True,"number, count, rank, company"
latus,8410,22126,11065,11625,13306.5,True,True,True,"(1.) bear, carry, bring (2.) suffer, endure, tolerate (3.) say, report"
os,12628,22081,10333,8113,13288.75,False,True,False,"mouth, face"
color,6434,20989,11956,12949,13082.0,True,True,True,"strain/filter (liquid), clarify, purify, remove solids by filter, wash (gold)"
google,4785,15097,15134,17274,13072.5,False,False,False,
secundus,9681,20451,9739,12079,12987.5,True,True,True,"second, favorable"
quintus,5442,20086,6867,18854,12812.25,True,True,True,Name Quintus
forma,4179,28317,9845,8333,12668.5,True,True,True,"form, make, prepare"
materia,3988,25897,9927,10811,12655.75,True,True,True,get timber
oculus,6137,19705,10567,14208,12654.25,True,True,True,eye
uerus,7986,17840,10032,14029,12471.75,True,True,True,
species,5646,21460,10204,12338,12412.0,True,True,True,"look at, see"
que,7838,17729,9904,13244,12178.75,False,False,True,"and, And, Und"
uolo,6414,16714,8299,16579,12001.5,True,True,True,
figura,5983,14416,12307,15184,11972.5,True,True,True,"form, fashion, shape"
fio,7387,19963,7991,11543,11721.0,False,True,False,"to happen, to occur, to pass, to turn into, to do, to put on, to take place, to turn, to go back"
animal,4669,21503,6932,13409,11628.25,True,True,True,"a living creature, animal"
circulus,7882,15572,12505,10334,11573.25,True,True,True,"circle, orbit, zone, ring, hoop, belt, collar, company, cycle, circumference"
pono,6746,19480,7881,11938,11511.25,True,True,True,"put, place, set, to put"
debeo,4806,18478,7874,14769,11481.75,True,True,True,"owe, ought, must"
sanguis,6418,23049,6337,9508,11328.0,True,True,True,blood
cùm,685,12549,9510,22475,11304.75,False,False,False,"with, when, at the time/on each occasion/in the situation that, after, since/although, as soon, while, as (well as), whereas, in that, seeing that, on/during which, because"
digitized,4849,12817,12553,14458,11169.25,False,False,False,
opus,7692,14568,9343,12867,11117.5,True,True,True,"work, achievement, oeuvre"
rectus,4815,17852,9435,11877,10994.75,True,True,True,rule
fero,7544,16815,8295,10466,10780.0,True,True,True,"(1.) bear, carry, bring (2.) suffer, endure, tolerate (3.) say, report"
sequor,5796,15854,8346,12955,10737.75,True,True,True,follow
solus,5520,15578,9382,11826,10576.5,True,True,True,"alone, only, the only"
inquam,5899,19898,7284,8910,10497.75,False,False,False,say
cor,10236,16159,5123,9606,10281.0,True,True,True,"heart, mind, soul"
reliquus,6682,16343,7619,10017,10165.25,True,True,True,"remaining, left over"
semen,7632,18994,6719,6765,10027.5,True,True,True,seed
punctum,3191,16347,9800,10714,10013.0,False,True,False,"prick, puncture, sting (insect), jab/poke, mark with points/pricks, vex/trouble"
moueo,6122,17357,7463,8922,9966.0,True,True,True,
bonus,6378,17717,5871,9866,9958.0,True,True,True,"(1.) good, great, pleasant, favorable, valuable (2.) able, useful, satisfactory, talented, efficient"
centrum,3891,11698,9814,14178,9895.25,True,True,True,"center (circle/sphere/earth), vanishing point, axis, pivot, knot, spur (fowl)"
in,4791,12927,7776,14034,9882.0,True,True,True,"(1.) into, onto (2.) toward, in, on, for, among (3.) against (4.) for"
stella,6426,9611,7802,15321,9790.0,True,True,True,star
ago,4559,17325,6903,10313,9775.0,True,True,True,"(1.) drive, urge, conduct, act (2.) spend (time w/cum) (3.) thank (w/gratias) (4.) deliver (speech) (5.) drive, lead, do, act, pass, spend (6.) drive, urge, conduct, act (7.) spend (time w/cum) (8.) thank (w/gratias) (9.) deliver (speech)"
uerbum,6302,15067,5662,11830,9715.25,True,True,True,
folium,8480,17714,6332,6189,9678.75,True,True,True,leaf
anima,3827,22074,7746,5045,9673.0,True,True,True,"soul, breath, spirit, life"
radix,9337,17263,5135,6913,9662.0,True,True,True,"root, base, square-root (math)"
uita,5865,14300,8028,9685,9469.5,True,True,True,
ignis,4351,14506,8050,10342,9312.25,True,True,True,fire
plinius,8608,16662,5772,6152,9298.5,False,True,False,"Plinius, (C. Plinius Secundus/Pliny, author of Natural History)"
ars,5521,14544,6580,10072,9179.25,True,True,True,"art, skill"
calor,3942,18496,6901,7266,9151.25,True,True,True,"announce, proclaim, summon, convoke, call forth/together"
qui,5464,13078,6863,11167,9143.0,True,True,True,"who, which, whom, that"
meus,4616,10323,6901,14044,8971.0,True,True,True,my
appello,8029,16358,5405,5932,8931.0,True,True,True,call
singulus,6043,13011,7007,9632,8923.25,True,True,True,every single one
proprius,3505,17308,7087,7697,8899.25,True,True,True,"distinct, peculiar"
mundus,3352,13682,6774,11732,8885.0,True,True,True,world
appareo,3511,12360,6840,12823,8883.5,True,True,True,"appear, come out, become clear, become evident"
signum,7870,15265,5826,6492,8863.25,True,True,True,signal
summus,5147,13895,6115,10195,8838.0,False,False,True,"above, upper, high"
principium,4446,17247,6146,7055,8723.5,True,True,True,beginning
sum,4494,13576,5512,11020,8650.5,True,True,True,"pig, pork, swine"
licet,3621,11652,6641,12657,8642.75,True,True,True,"it's allowed, it's possible"
tuus,4607,9505,6857,13505,8618.5,True,True,True,your
pes,4608,11328,5621,12633,8547.5,True,True,True,foot
refero,4692,11729,6036,11712,8542.25,True,True,True,"bring back, return"
uir,5366,12755,5841,10148,8527.5,True,True,True,man
hora,4579,10293,6794,12352,8504.5,True,True,True,"hour, time, season"
inuenio,5791,12930,6364,8899,8496.0,True,True,True,
finis,4079,13166,6715,9942,8475.5,True,True,True,"end, limit, border, boundary, (plural) territory"
spiritus,3102,15884,5332,9174,8373.0,True,True,True,"(1.) breath, breathing (2.) spirit, soul, courage"
gradus,6115,8846,7902,10533,8349.0,True,True,True,"step, position"
nascor,6227,12421,6683,7206,8134.25,True,True,True,"(1.) be born (2.) spring forth, arise"
uirtus,4028,14432,6625,7430,8128.75,True,True,True,
medicus,5840,12598,7220,6628,8071.5,True,True,True,doctor
animus,5394,13247,4893,8732,8066.5,True,True,True,"sense, mind, bravery, soul, spirit, courage, heart"
duco,4519,12203,6029,9493,8061.0,True,True,True,"lead, guide, develop, prolong"
naturalis,3646,16083,5677,6741,8036.75,True,True,True,"natural, normal, typical, characteristic, innate, inherent, physical (science)"
mare,4870,10328,7216,9720,8033.5,True,True,True,"sea, moon plains"
usus,4432,14666,4999,7973,8017.5,True,True,True,"use, benefit, advantage"
longus,4441,12444,6916,8186,7996.75,True,True,True,long
mons,4941,8508,7325,11187,7990.25,True,True,True,mountain
puto,4846,12149,4785,10076,7964.0,True,True,True,"pure, unmixed, unadulterated"
contineo,4399,12414,6965,7689,7866.75,True,True,True,"hold together, contain, keep, enclose, restrain"
sensus,4458,14821,4806,7225,7827.5,True,True,True,"feel, perceive, think, experience"
ordo,5200,12714,5034,8214,7790.5,True,True,True,"row, order/rank, succession, series, class, bank (oars), order (of monks) (Bee)"
calidus,3850,19974,3805,3417,7761.5,True,True,True,"warm, hot, fiery, lusty, eager, rash, on the spot, having a warm climate/place"
intellego,4174,13996,5022,7575,7691.75,False,False,False,"understand, realize, understand"
accipio,4247,14207,4770,7466,7672.5,True,True,True,"accept, take, receive"
lapis,3986,10395,8269,7736,7596.5,True,True,True,"stone, milestone, jewel"
manus,5372,11209,5055,8578,7553.5,True,True,True,"hand, band (of men)"
communis,3631,12847,6044,7367,7472.25,True,True,True,"common, general, of the community, for the community"
consto,3956,10447,5579,9905,7471.75,True,True,True,"agree, correspond, fit, be correct, be dependent, based upon, exist, continue, last"
arcus,4884,12651,5642,6576,7438.25,True,True,True,"bow, arc, coil, arch, rainbow, anything arched or curved"
addo,4037,9066,6237,9665,7251.25,True,True,True,"add, insert, bring/attach to, say in addition, increase, impart, associate"
galenus,5511,16265,4770,2239,7196.25,False,False,True,
distantia,1936,4727,6109,16009,7195.25,True,True,True,"stand apart, be distant, be different"
magnitudo,3242,11431,6067,7967,7176.75,True,True,True,"greatness, size"
superior,4060,10440,5730,8395,7156.25,False,True,False,"above, upper, high"
ostendo,3756,10846,5938,7892,7108.0,True,True,True,"exhibit, show, display"
aio,4247,11747,4005,8373,7093.0,True,True,True,"say, assert, say yes"
mens,3589,11767,4875,7754,6996.25,True,True,True,"mind, spirit"
uinum,6406,14500,3510,3499,6978.75,True,True,True,
dolor,4759,16079,3159,3698,6923.75,True,True,True,"pain, grief"
regio,5488,9386,5246,7427,6886.75,True,True,True,"royal, of a king, regal"
rex,4196,10912,4592,7742,6860.5,True,True,True,king
substantia,3722,14279,4821,4609,6857.75,True,True,True,"hold firm, stand under"
orbis,3573,7126,6623,9884,6801.5,True,True,True,"bereft, deprived, childless"
superficies,2112,12649,6247,6106,6778.5,False,False,True,"top, surface, upper layer, building (vs. land on which it stands)"
par,4357,11825,4230,6692,6776.0,True,True,True,
altitudo,1995,4036,5636,15136,6700.75,True,True,True,"height, altitude, depth, loftiness, profundity, noblemindedness, secrecy"
nouus,3227,6331,6712,10383,6663.25,True,True,True,
cibus,4676,15382,3273,3180,6627.75,True,True,True,"Food, Ration"
certus,3286,8102,5618,9491,6624.25,True,True,True,"definite, sure, certain, reliable"
quartus,5589,10914,4852,5136,6622.75,True,True,True,Fourth
differentia,3610,10390,5425,7064,6622.25,True,True,True,"different, superior, excellent"
aer,3385,10633,5094,6993,6526.25,True,True,True,air
longitudo,4577,7001,6053,8405,6509.0,True,True,True,length
albus,3321,11211,5463,5840,6458.75,True,True,True,"white, pale, fair, hoary, gray, bright, clear, favorable, auspicious, fortunate"
uarius,4244,7632,4691,8862,6357.25,True,True,True,
sententia,3975,9494,4623,7157,6312.25,True,True,True,"feeling, thought, opinion, vote, sentence"
morbus,4490,12094,4256,4401,6310.25,True,True,True,"disease, sickness"
soleo,3641,10013,4106,7462,6305.5,True,True,True,be accustomed
planus,1662,7011,8375,8136,6296.0,True,True,True,"level, flat"
