lasla,operamaiora,1501-1550,1551-1600,1601-1650,1651-1700
discordia,discordia,amicitia,concors,concors,pax
concors,concors,christianis,discordia,discordia,discordia
socordia,pax,discordia,pax,fidelis,concors
uecordia,concordo,reconciliatio,mutuus,pax,constantia
consensio,dissensio,pax,amicitia,amicitia,foedus
stabilio,redamatio,concors,dissensio,foedus,securitas
optimates,litigium,societas,consentio,confessio,confoederatio
dissensio,seditio,oboedientia,harmonia,frater,lex
pax,litigo,christianus,necessitudo,societas,integerrimus
reconcilio,lis,doctores,moderatio,formula,reges
consocio,inuicem,inimicitia,discordo,reconciliatio,reconcilio
concilio,beneficentia,studium,omnis,institutio,fidelitas
reconciliatio,amicitia,ecclesia,controuersia,pius,intercessio
stabilitas,dissimulatio,affinitas,princeps,coniugalis,amicitia
omnimodis,contentio,christiani,constituo,stabilis,iustitia
discordo,amatio,theologia,inimicitia,amica,constantus
concolor,iurgium,mutuus,consensus,coniugium,discordo
conciliatio,dissensus,odium,communio,firmus,frater
conuersio,contendo,familiaritas,reconciliatio,religio,fidei
dissocio,schisma,christiana,unio,sacramentum,tranquillitas
praestabilis,corrixor,consensus,pugno,socio,religio
intestabilis,rixor,fauor,coniugium,sodalitium,respublica
dissero,unitio,honestus,familiaritas,sodalitas,reconciliatio
consenesco,zelus,sodalitas,nio,ecclesia,mutuus
consensus,beneuolentia,dilectio,pius,fortuna,remp
praecordia,affabilitas,foedus,ciuis,aedificatio,ineo
conuentio,tranquillitas,fraternus,concilio,faueo,consensus
coniunctio,seditiosus,tranquillitas,societas,euangelicus,firmo
incolumitas,contranitor,religio,beneuolentia,repudium,exopto
consentaneus,bellum,consultatio,congredior,dilectio,felicitas
condicio,simulatio,exhortatio,coniungo,reconcilio,imperium
salutatio,catilinarius,ecclesiasticus,deuinco,amicus,oboedientia
ordinatus,offensio,philosophicus,officium,consensus,pacis
misericordia,dissentio,coniugalis,conuictus,theologi,innocentia
stabilis,peripateticus,philosophia,pugna,matrimonium,libertas
alio,bello,consilium,ino,dominus,aequitas
dissideo,susurro,reconcilio,sodalitas,inio,uenerao
conclamatio,barnabas,catholicus,ordo,admonitio,charitas
reconditus,sadducaeus,rerum,dubius,faustus,deuotio
concubitus,litigiosus,eccle,aequitas,pietas,amor
confusio,tyrus,liberalitas,contentio,dogmatum,tolerantia
bonitas,familiaritas,coetus,integro,diuulgo,dogmatum
consentio,congaudeo,flagito,fidelis,confoederatio,duces
concubina,tranquillus,deliberatio,religio,stabilio,inio
conniueo,punitio,conseruator,profectò,indulgentia,inimicitia
usquequaque,conciuis,confoederatio,dux,salus,traianus
exordium,dissidium,approbatio,institutio,communitas,soror
diuinitas,dissimulo,oratio,repudium,precor,reips
concessio,detractor,concilium,cunctus,mutuus,clementia
optio,simulator,efflagito,dogmatum,procuratio,auctoritas
