lasla,operamaiora,1501-1550,1551-1600,1601-1650,1651-1700
consensio,consentio,consentio,consentio,consentio,consentio
consentio,consentius,fides,primarius,iudicium,approbatio
consentaneus,matrimonialis,omnis,consortium,omnis,suffragium
consentiens,connubium,eruditor,communio,confoederatio,auctoritas
conseruatio,coniux,conseruus,affectus,doctrina,sententia
consenesco,matrimonium,haereticus,princeps,opinio,decretum
consocio,delibero,dissensio,assensus,astrologus,dissensio
assensus,dissensus,assensus,communitas,theologus,autoritas
consessus,copula,uniuersus,communico,approbatio,collatio
conuentio,deliberatio,usus,affectio,amicitia,approbo
consecratio,contractus,reconciliatio,societas,conuentus,fides
conciliatio,interpretatiuus,concordia,approbatio,christianus,opinio
consequens,interpretatio,conseruo,decretum,philosophorum,lex
optimates,diuortium,dubito,dissensio,controuersia,confirmo
consultatio,fornicatio,conseruator,consortia,theologi,suffragor
sensus,interim,conseruatio,omnis,philosopho,statuo
reconciliatio,uxor,catholicus,cognatio,dissentio,theologi
conueniens,mortalis,facultas,afficio,conuenio,natio
senatus,dirimo,cognatio,suffragium,credo,dissentio
beneuolentia,morosus,familiaritas,rum,inprimis,theologus
