lasla,operamaiora,1501-1550,1551-1600,1601-1650,1651-1700
caerimonia,complexiono,concentus,concentus,concentus,concentus
harpyia,complexio,organum,consono,musicus,musicus
gemoniae,galenus,musicus,musicus,compositio,dissonus
sanctimonia,elementatus,consono,concino,consono,sonus
ciconia,elementum,concino,compono,simplex,organum
ausonia,elementaris,perpetuò,motio,sonus,artificiosus
querimonia,empedocles,corporeus,concordia,compono,cantus
feronia,tangibilis,intelligentia,resulto,consensus,chorda
brixia,cholera,instrumentum,actio,uocalis,perturbo
orgia,hepar,functio,compositio,accentus,concino
ueleda,temperamentum,sonus,temperatio,organum,motio
iphigenia,praedomino,incompositus,mundanus,vonia,ordino
acerronia,dissonus,auditus,moderatio,auditus,chor
battiades,cholericus,consensus,efficio,cantus,uniuersitas
parsimonia,inalterabilis,circumscriptio,coeless,cantor,dispositio
caledonia,ingenerabilis,rationalis,elementum,uniuersitas,auditus
antistes,alterabilis,nexus,figuro,conuentio,omnis
tiresias,mistio,uox,caelestis,conscribo,surdus
scribonia,spissus,lubeo,organum,ordo,modulus
moneta,auerroes,perturbo,congruo,consentio,chorus
smyrnaei,palpabilis,compono,sonus,singularis,operatio
anchisiades,misceo,actio,uniuersitas,congruo,concordia
narnia,organum,irrationalis,corporeus,porrò,compositio
lauinia,corruptibilis,consentio,tura,ordino,consono
asylum,frangibilis,compositum,auditus,cano,chorea
antonia,melancholicus,forma,coelestis,audio,iucunditas
monitum,cerebrum,imitatio,perfectus,institutio,compono
chloe,spissitudo,proprius,functio,accommodo,anima
hara,generabilis,constao,cithara,diuersitas,cano
thrasyllus,humor,dissonus,accommodo,theologus,discordo
monile,corporeitas,facultas,constituo,mirus,incito
thais,ligamentum,possum,constitutio,obiurgatio,aequalitas
orithyia,quatuor,corpus,cantus,conuenio,actio
sibylla,incorruptibilis,deliberatio,contemplatio,conuentus,auris
nenia,humecto,aptus,omnis,imitabilis,compositum
monitus,apuleius,concors,imitatio,expositio,tus
tirynthius,corruptibilitas,inconcussus,motus,contemplatio,triplex
berecyntius,euaporatio,sanè,consentio,attineo,concito
thyas,soliditas,elementum,humanus,coeless,pythagoras
haruspex,auicebron,admirabilis,corporalis,omnis,multiplex
mimas,pythagoricus,conuenio,numerus,sermo,tio
dulichius,timaeus,intellegentia,consto,norma,uox
acron,incorruptibilitas,attendo,conformis,confuso,concors
aufilena,fornax,liceo,consequor,formula,efficio
proserpina,aereusaer,animaduerto,quicumque,instrumentum,contemplor
achates,olfactus,administratio,temperantia,autor,rationalis
montiuagus,fomentum,sermo,animo,attentio,admirabilis
sibyllinus,ponderosus,guberno,mens,coniungo,hilaritas
quirinalis,uaporabilis,loquor,coelus,carmen,diuisio
maluginensis,calidus,superior,consisto,volumen,motus
