lasla,operamaiora,1501-1550,1551-1600,1601-1650,1651-1700
equester,ordinatio,ordino,primus,series,series
sequester,aliqui,generalis,dispono,volumen,ordino
turmatim,omnis,primus,ordino,primus,dispono
equestria,autem,numerus,secundus,singulus,singulus
uniuersum,coordinatio,secundus,statuo,ordino,constituo
antesignanus,praeficio,formula,gradus,institutio,primus
legionarius,ordino,distinctio,series,numerus,numerus
uniuersus,quidam,multiplico,numerus,litera,dispositio
euocati,quantum,minus,institutio,exigo,lex
uniuersi,et,res,instituo,seruo,omnis
profligo,supra,unusquis,prouidentia,lex,pono
deligo,ideo,elementum,tertius,habeo,tertius
ordinarius,ad,regula,constituo,praefinio,littera
primus,ut,exemplum,multiplex,pertineo,sequor
centuria,sicut,doceo,potestas,equester,ordinatio
plaetorius,etiam,esse,pertineo,collectio,consto
discordo,prouisio,titulus,lex,explico,reliquus
praetorius,promoueo,gradus,tractatus,biblia,rum
singillatim,promotio,propono,omnis,classis,binus
assecla,diuinus,praescribo,unitas,uniuersitas,classis
turma,debeo,ordinatio,singulus,secundus,titulus
senatorius,a,pono,modus,successio,praescriptum
sententia,dispenso,requiro,fenus,constituo,secundus
anniuersarius,unde,praescrio,compono,distinguo,ecclesiastica
praetorianus,quam,tertius,vester,distribuo,compono
cassianus,praetergredior,proprius,adiungo,distinctio,modus
integre,quia,finis,praescriptum,poetarum,distinguo
praefinio,gubernatio,terminus,rum,tertius,decretum
cohors,uniuersus,profectus,postulo,suus,finis
marrucini,hic,simplex,procedo,constitutio,pagina
turpilianus,ordinator,aggrego,doctrina,consigno,praefinio
cohortor,dioecesis,sermo,habeo,omnis,generalis
halaesini,habeo,subicio,ratio,complector,destino
honorarius,prouidentia,sequor,numero,digero,uerò
statura,regimen,signum,sequor,instituo,conscribo
scandilius,archiepiscopus,rum,uolumen,postulo,triplex
iudicium,officium,unusquisque,prior,theologia,conditor
primarius,prouincia,qualitas,communio,annalis,distribuo
suffragium,non,uolumen,opus,colloco,ultimus
iudiciarius,ille,ultimus,autor,formula,suus
seligo,nam,canon,distinctio,disciplina,institutum
saburra,cum,ostendo,primum,procedo,legio
duumuir,is,obseruo,uerò,sequor,autor
sertorius,qui,figura,liber,primum,ratio
cohortatio,inuenio,identitas,persona,conuentio,regimen
sinister,suscipio,iurisdictio,praeceptum,quâ,inprimis
corduba,proximitas,species,tenor,theologi,columna
legio,alius,constituo,res,dispono,porrò
discrepo,finis,dispono,conditio,collegium,habeo
subsequor,scilicet,progredior,conuenio,secundum,innuo
