lasla,operamaiora,1501-1550,1551-1600,1601-1650,1651-1700
,,blandior,torridam,peruenio,sallo
,,deterus,lilium,exercitatio,minutus
,,permaneo,haedus,deprehendo,carbonum
,,mansuetus,modicus,pigritia,dissolutio
,,deformo,dia,lycaeus,scamnum
,,exposio,uelamen,recurro,elementi
,,ruga,torridus,insequor,reip
,,loquela,femina,memoro,particula
,,intro,tenuissimus,exco,immundus
,,uocalis,nectar,medo,patina
,,lethalis,diffundo,uiuax,denus
,,seposio,linum,emano,abdico
,,claudus,ditus,ac,momentum
,,dis,medulla,compareo,contiguus
,,mutilo,rubrus,discepto,manè
,,ambulo,casa,progredior,carum
,,solio,dius,longissimus,cortina
,,rosae,corono,occurro,contristo
,,mando,indicus,ualentis,arbiter
,,sacrificium,confinis,decurro,tactus
,,mortiferus,tit,spargo,simus
,,diuturnus,lucerna,uestigium,chorda
,,pergo,gallina,illabor,regnus
,,speciosus,rufum,praetergredior,deprecatio
,,futura,canto,google,gis
,,consummo,viola,dies,flagitium
,,degusto,acre,deduco,tertius
,,dono,sandaraca,seposo,iniquitas
,,foetidus,dor,intermitto,elementum
,,breuis,cola,inuenio,intersum
,,dictio,augus,medico,peccatum
,,alterus,uer,propago,parca
,,it,incolo,prodo,exitium
,,perseuero,uenerao,porrigo,contactus
,,luba,illustro,inprimis,actus
,,splendidus,utcum,valentis,altare
,,lapsus,el,animaduerto,particeps
,,sera,concilio,lympha,tamquam
,,gestus,co,restituo,euado
,,tui,albus,los,extima
,,ingredior,lumen,exilis,quaestio
,,luctuosus,suauus,reliquiae,agon
,,immuto,arabicus,trado,controuersia
,,graecus,camelus,prodeo,prandeo
,,nepos,estus,sequor,solutio
,,indico,illumino,statim,nexus
,,monumentum,extremus,memori,miso
,,horto,carus,dignosco,statuo
,,docilis,gallus,perambulo,linum
,,unca,ala,tondeo,speculator
